# [国字](https://jigen.net/data/%E5%9B%BD%E5%AD%97)
569: 綛 U+7D9B
570: 縅 U+7E05
571: 縨 U+7E28
572: 繧 U+7E67
573: 纃 U+7E83
574: 纐 U+7E90
575: 羪 U+7FAA
576: 聢 U+8062
577: 胱 U+80F1
578: 脵 U+8135
579: 腺 U+817A
580: 膣 U+81A3
581: 膤 U+81A4
582: 膵 U+81B5
583: 艉 U+8249
584: 艝 U+825D
585: 艠 U+8260
586: 萙 U+8419
587: 萢 U+8422
588: 蒅 U+8485
589: 蓙 U+84D9
590: 蓜 U+84DC
591: 蔶 U+8536
592: 蘰 U+8630
593: 虅 U+8645
594: 虲 U+8672
595: 蛯 U+86EF
596: 蜊 U+870A
597: 螧 U+87A7
598: 螩 U+87A9
599: 蟎 U+87CE
600: 蟐 U+87D0

