 237: 関連字: 噺 U+567A,  異体字: NONE
 238: 関連字: NONE,  異体字: NONE
 239: 関連字: 𡀿 U+2103F,  異体字: 𫫵 U+2BAF5
 240: 関連字: NONE,  異体字: NONE
 241: 関連字: 囎 U+56CE,  異体字: NONE
 242: 関連字: 囉 U+56C9,  異体字: 啰 U+5570, 囖 U+56D6, 曪 U+66EA, 罗 U+7F57
 243: 関連字: 𪢦 U+2A8A6,  異体字: NONE
 244: 関連字: 𭍕 U+2D355,  異体字: NONE
 245: 関連字: NONE,  異体字: NONE
 246: 関連字: NONE,  異体字: NONE
 247: 関連字: 囲 U+56F2,  異体字: 㘟 U+361F, 冊 U+518A, 囱 U+56F1, 围 U+56F4, 圍 U+570D, 涠 U+6DA0, 𡆪 U+211AA
 248: 関連字: NONE,  異体字: NONE
 249: 関連字: NONE,  異体字: NONE
 250: 関連字: 国 U+56FD,  異体字: 䆐 U+4190, 囯 U+56EF, 囶 U+56F6, 囻 U+56FB, 圀 U+5700, 國 U+570B
 251: 関連字: NONE,  異体字: NONE
 252: 関連字: NONE,  異体字: NONE
 253: 関連字: 國 U+570B,  異体字: 㕵 U+3575, 䆐 U+4190, 囗 U+56D7, 囯 U+56EF, 囶 U+56F6, 囻 U+56FB, 国 U+56FD, 圀 U+5700, 或 U+6216, 戜 U+621C, 𠩥 U+20A65, 𠰧 U+20C27, 𡆸 U+211B8, 𡆻 U+211BB, 𡆿 U+211BF, 𡇅 U+211C5, 𡇎 U+211CE, 𡇏 U+211CF, 𡇕 U+211D5, 𡈁 U+21201, 𡈑 U+21211, 𢦾 U+229BE, 𢧌 U+229CC, 𢧰 U+229F0, 𤡓 U+24853, 𤦂 U+24982, 𤦒 U+24992
 254: 関連字: NONE,  異体字: NONE
 255: 関連字: 𮊂 U+2E282,  異体字: 䀠 U+4020, 眗 U+7717, 罒 U+7F52, 𥇛 U+251DB
 256: 関連字: 齒 U+9F52,  異体字: ⿒ U+2FD2, 㒶 U+34B6, 歯 U+6B6F, 齿 U+9F7F, 𠔒 U+20512, 𠚄 U+20684, 𠚅 U+20685, 𠚒 U+20692, 𠚕 U+20695, 𡹤 U+21E64, 𡽔 U+21F54, 𢇕 U+221D5, 𣥫 U+2396B, 𣦋 U+2398B, 𣦗 U+23997, 𦥒 U+26952, 𦥪 U+2696A, 𦦂 U+26982, 𮮽 U+2EBBD, 𱐍 U+3140D
 257: 関連字: NONE,  異体字: NONE
 258: 関連字: 𫭏 U+2BB4F,  異体字: NONE
 259: 関連字: 𡈁 U+21201,  異体字: 國 U+570B
 260: 関連字: 圕 U+5715,  異体字: 𡆥 U+211A5, 𱕸 U+31578
 261: 関連字: 圦 U+5726,  異体字: 杁 U+6741
 262: 関連字: 𫭗 U+2BB57,  異体字: NONE
 263: 関連字: 圷 U+5737,  異体字: NONE
 264: 関連字: 圸 U+5738,  異体字: 奾 U+597E
 265: 関連字: 𡉕 U+21255,  異体字: NONE
 266: 関連字: 𱖇 U+31587,  異体字: 圩 U+5729
 267: 関連字: 𡉻 U+2127B,  異体字: 埣 U+57E3
 268: 関連字: 𡉶 U+21276,  異体字: 坘 U+5758, 坻 U+577B, 墀 U+5880
