# format: {code point}: {pinyins}  # {hanzi}
# e.g.:
# U+4E2D: zhōng,zhòng  #中
U+2B027: gōng  #𫀧
U+2B039: míng  #𫀹
U+2B041: zī  #𫁁
U+2B046: chì  #𫁆
U+2B048: yì  #𫁈
U+2B051: zhōng  #𫁑
U+2B056: guǐ  #𫁖
U+2B057: kū  #𫁗
U+2B076: chǐ  #𫁶
U+2B07D: bā  #𫁽
U+2B085: fèi  #𫂅
U+2B092: zhū  #𫂒
U+2B0A3: qī,jī  #𫂣
U+2B0A9: fù  #𫂩
U+2B0B2: mǐ  #𫂲
U+2B0C4: cōng  #𫃄
U+2B0C7: qì  #𫃇
U+2B0E5: zú  #𫃥
U+2B0F2: zhǒu  #𫃲
U+2B10A: bǐng  #𫄊
U+2B117: dǎng  #𫄗
U+2B166: xiáng  #𫅦
U+2B17F: fèi  #𫅿
U+2B193: náng  #𫆓
U+2B19B: dài  #𫆛
U+2B1A8: qián  #𫆨
U+2B1B7: qí  #𫆷
U+2B1BA: nào  #𫆺
U+2B1C5: wù,mò  #𫇅
U+2B1DC: ruò  #𫇜
U+2B1E0: shòu  #𫇠
U+2B1E8: chuān  #𫇨
U+2B1E9: wǔ  #𫇩
U+2B1FB: chí  #𫇻
U+2B1FF: cè  #𫇿
U+2B202: dié,jūn  #𫈂
U+2B204: yǐ  #𫈄
U+2B206: qié,jiā,gā  #𫈆
U+2B207: jiāo,qiú  #𫈇
U+2B213: wǔ  #𫈓
U+2B21E: xuàn  #𫈞
U+2B224: lì,dài  #𫈤
U+2B239: jú  #𫈹
U+2B23D: chì  #𫈽
U+2B240: qì  #𫉀
U+2B247: ba  #𫉇
U+2B251: suàn, tīng  #𫉑
U+2B252: cháng  #𫉒
U+2B259: jú  #𫉙
U+2B25C: guàn  #𫉜
U+2B260: ěr  #𫉠
U+2B26B: cháng  #𫉫
